"station_id","year","season","n_rain","R5mm","R10mm","R20mm","SDII","PRCPTOT","Rx1day","Rx5day","n_maxdy","n_mindy","FD","TR","SU","ID","TNn","TNx","TXn","TXx","DTR","TN10p","TN90p","TX10p","TX90p"
"BALLYHAISE",2016,"Spring",92,13,3,0,5.125,164,18.1,35.1,92,92,7,0,0,0,-3.65,11.65,5.874,22.43,8.167,NA,NA,NA,NA
"BALLYHAISE",2016,"Summer",92,18,3,0,4.494,238.2,19.6,38.6,92,92,0,0,2,0,5.202,16.46,13.69,25.54,7.089,NA,NA,NA,NA
"BALLYHAISE",2016,"Autumn",91,14,5,0,5.458,180.1,17.7,34.6,91,91,10,0,0,0,-4.253,17.91,1.152,21.51,6.255,NA,NA,NA,NA
"BALLYHAISE",2017,"Winter",90,13,4,1,6.304,163.9,20.2,36.1,90,90,22,0,0,0,-4.067,9.97,1.983,14.92,5.674,NA,NA,NA,NA
"BALLYHAISE",2017,"Spring",92,13,3,0,4.584,142.1,19.9,35.5,92,92,1,0,1,0,-2.685,14.13,5.843,25.13,7.792,NA,NA,NA,NA
"BALLYHAISE",2017,"Summer",92,16,6,1,5.285,280.1,20.1,45.8,92,92,0,0,0,0,4.976,15.4,13.93,24.15,7.295,NA,NA,NA,NA
"BALLYHAISE",2017,"Autumn",91,21,5,0,5.519,287,18.2,37.4,91,91,2,0,0,0,-0.68,14.93,3.925,20.74,6.194,NA,NA,NA,NA
"BALLYHAISE",2018,"Winter",90,25,11,3,7.104,348.1,25.3,51.4,90,90,31,0,0,1,-5.521,10.19,-1.073,13.41,5.83,NA,NA,NA,NA
"BALLYHAISE",2018,"Spring",92,14,3,0,4.548,181.9,16.6,27.6,92,92,15,0,0,0,-5.213,14.51,0.812,23.51,7.806,NA,NA,NA,NA
"BALLYHAISE",2018,"Summer",92,14,6,0,5.817,203.6,19.8,39.1,92,92,0,0,6,0,4.201,16.67,14.28,28.76,8.588,NA,NA,NA,NA
"BALLYHAISE",2018,"Autumn",91,10,3,0,5.191,171.3,19.4,35.2,91,91,10,0,0,0,-2.278,14.04,5.541,20.59,6.809,NA,NA,NA,NA
"BALLYHAISE",2019,"Winter",90,13,1,1,4.546,186.4,21.1,34.4,90,90,12,0,0,0,-3.519,10.46,2.909,15.52,5.159,NA,NA,NA,NA
"BALLYHAISE",2019,"Spring",92,22,4,2,6.09,243.6,23.6,60.6,92,92,2,0,0,0,-1.176,14.18,6.097,20.67,7.52,NA,NA,NA,NA
"BALLYHAISE",2019,"Summer",92,18,11,2,7.551,324.7,42.4,68.9,92,92,0,0,0,0,3.072,17.06,10.57,24.14,7.471,NA,NA,NA,NA
"BALLYHAISE",2019,"Autumn",91,19,9,3,7.298,343,36.4,79.9,91,91,12,0,0,0,-4.117,15.35,3.394,20.76,6.518,NA,NA,NA,NA
"BALLYHAISE",2020,"Winter",91,23,10,2,6.302,346.6,32.1,64.4,91,91,14,0,0,0,-3.904,9.69,3.246,13.56,5.621,NA,NA,NA,NA
"BALLYHAISE",2020,"Spring",92,9,3,0,5.367,128.8,19.9,35.2,92,92,10,0,0,0,-2.4,12.45,6.254,23.76,8.981,NA,NA,NA,NA
"BALLYHAISE",2020,"Summer",92,33,11,2,7.634,358.8,25.2,60.3,92,92,0,0,0,0,3.158,15.52,11.45,24.48,6.92,NA,NA,NA,NA
"BALLYHAISE",2020,"Autumn",91,21,5,0,5.562,261.4,19.6,38.7,91,91,1,0,0,0,-1.482,15.15,7.615,21.88,6.4,NA,NA,NA,NA
"BALLYHAISE",2021,"Winter",90,25,8,2,6.636,298.6,20.3,46.1,90,90,26,0,0,1,-7.449,9.86,-0.353,13.37,5.305,NA,NA,NA,NA
"BALLYHAISE",2021,"Spring",92,14,4,0,5.031,181.1,14.6,42.5,92,92,18,0,0,0,-3.436,10.92,4.798,21.64,8.659,NA,NA,NA,NA
"BALLYHAISE",2021,"Summer",92,11,6,2,6.807,190.6,25.6,92.7,92,92,0,0,10,0,3.849,15.1,13.88,28.9,8.074,NA,NA,NA,NA
"BALLYHAISE",2021,"Autumn",91,14,7,1,5.058,227.6,23.9,47.2,91,91,2,0,0,0,-0.652,16.19,5.202,23.51,6.103,NA,NA,NA,NA
"BALLYHAISE",2022,"Winter",90,15,7,1,5.169,268.8,22.3,56.9,90,90,6,0,0,0,-3.107,11.32,4.073,14.51,5.204,NA,NA,NA,NA
